PaperID,title,authors,contacts,studyID,EffectID,journal,journalH5,publication_year,country,published,source,doi,citations,items,predictedDirection,inLabAdministration,research_design,strategy,frequency_of_intervention,number_of_intervention,lenght of intervention,timing_of_effect,when,duration_of_intervention,nationality,presence_of_individual_differences ,presence_of_stressTest,Type_of_StressTest,name of stress test,type_of_population,exact_type_of_population,Instrument,type_of_source,type_of_comparison_group,,,Measure,affect ,type_of_stress_component,Affective_consequences_of_stress ,focal variable,type_of_effect,nMale	,nFemale,% of Female,mean age,F,log.reg.B,B,beta,t,r,Chisq	,Waldchisq,df1,df2,p.reported,sd1,sd2,se1,se2,n1  (code the experimental group as n1),n2,n3,mean1 (code the experimental group),mean2,Domain.1.risk.of.bias,Domain.2.risk.of.bias,Domain.3.risk.of.bias,Domain.4.risk.of.bias,Domain.5.risk.of.bias,Overall.risk.of.bias,Included =1 Excluded =0 ,Notes,url
4,"Improvements in stress, affect, and irritability following brief use of a mindfulness-based smartphone app: A randomized controlled trial","Economides, Marcos; Martman, Janis; Bell, Megan J.; Sanderson, Brad",marcos@headspace.com,1,3,Mindfulness,58,2018,1,1,1,10.1007/s12671-018-0905-4,57,12,,3,1,1,7,10,,1,,100,2,1,2,4,,2,,,2,2,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,The effectiveness of a music-based relaxation intervention and a mindfulness-based intervention delivered online to decrease hospice workers stress and improve professional quality of life,"Fiore, Jennifer M.",,,,,,2015,1,1,1,https://pdfs.semanticscholar.org/f244/58a4423281797d3bfe1ed0a5cfd4e7346b5f.pdf,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,The effectiveness of a music-based relaxation intervention and a mindfulness-based intervention delivered online to decrease hospice workers stress and improve professional quality of life,"Fiore, Jennifer M.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A randomized controlled pilot study of a brief web-based mindfulness training.,"Glück, Tobias M.; Maercker, Andreas",tobias.glueck@univie.ac.at,,,	BMC Psychiatry,62,2011,1,1,2,10.1186/1471-244X-11-175,160,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A randomized controlled pilot study of a brief web-based mindfulness training.,"Glück, Tobias M.; Maercker, Andreas",tobias.glueck@univie.ac.at,,,	BMC Psychiatry,62,2011,1,1,2,10.1186/1471-244X-11-175,160,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A randomized controlled pilot study of a brief web-based mindfulness training.,"Glück, Tobias M.; Maercker, Andreas",tobias.glueck@univie.ac.at,,,	BMC Psychiatry,62,2011,1,1,2,10.1186/1471-244X-11-175,160,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A randomized controlled pilot study of a brief web-based mindfulness training.,"Glück, Tobias M.; Maercker, Andreas",tobias.glueck@univie.ac.at,,,	BMC Psychiatry,62,2011,1,1,2,10.1186/1471-244X-11-175,160,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Online mindfulness as a promising method to improve exercise capacity in heart disease: 12-month follow-up of a randomized controlled trial,"Gotink, Rinske A.; Younge, John O.; Wery, Machteld F.; Utens, Elisabeth M. W. J.; Michels, Michelle; Rizopoulos, Dimitris; van Rossum, Liesbeth F. C.; Roos-Hesselink, Jolien W.; Hunink, Myriam M. G.",m.hunink@erasmusmc.nl,,,	PLoS ONE,175,2017,0,1,2,10.1371/journal.pone.0175923,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,An online mindfulness intervention to reduce stress and anxiety among college students,"Greer, Christiaan",pfraz@umn.edu,,,,,2016,1,0,1,https://conservancy.umn.edu/handle/11299/175442,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Evaluation of an mhealth app (destressify) on university students' mental health: Pilot trial,"Lee, R.A.; Jung, M.E.",mary.jung@ubc.ca,,,JMIR MENTAL HEALTH,35,2018,1,1,2,10.2196/mental.8324,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Evaluation of an mhealth app (destressify) on university students' mental health: Pilot trial,"Lee, R.A.; Jung, M.E.",mary.jung@ubc.ca,,,,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Evaluation of an mhealth app (destressify) on university students' mental health: Pilot trial,"Lee, R.A.; Jung, M.E.",mary.jung@ubc.ca,,,,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Evaluation of an mhealth app (destressify) on university students' mental health: Pilot trial,"Lee, R.A.; Jung, M.E.",mary.jung@ubc.ca,,,,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Evaluation of a mindfulness intervention for paralympic leaders prior to the paralympic games,"Lundqvist, Carolina; Ståhl, Linda; Kenttä, Göran; Thulin, Ulrika","carolina.lundqvist@liu.se, ulrika.thulin@ki.se",,,"International Journal of Sports Science& Coaching",25,2018,1,1,1,10.1177/1747954117746495,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Evaluation of a mindfulness intervention for paralympic leaders prior to the paralympic games,"Lundqvist, Carolina; Ståhl, Linda; Kenttä, Göran; Thulin, Ulrika","carolina.lundqvist@liu.se, ulrika.thulin@ki.se",,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Evaluation of a mindfulness intervention for paralympic leaders prior to the paralympic games,"Lundqvist, Carolina; Ståhl, Linda; Kenttä, Göran; Thulin, Ulrika","carolina.lundqvist@liu.se, ulrika.thulin@ki.se",,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Evaluation of a mindfulness intervention for paralympic leaders prior to the paralympic games,"Lundqvist, Carolina; Ståhl, Linda; Kenttä, Göran; Thulin, Ulrika","carolina.lundqvist@liu.se, ulrika.thulin@ki.se",,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Effects of a novel positive psychological intervention on prenatal stress and well-being: A pilot randomised controlled trial,"Matvienko-Sikar, K.; Dockray, S.",Karen.msikar@ucc.ie,,,Women and Birth,34,2017,1,1,3,10.1016/j.wombi.2016.10.003,39,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Effects of a novel positive psychological intervention on prenatal stress and well-being: A pilot randomised controlled trial,"Matvienko-Sikar, K.; Dockray, S.",Karen.msikar@ucc.ie,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Effects of a novel positive psychological intervention on prenatal stress and well-being: A pilot randomised controlled trial,"Matvienko-Sikar, K.; Dockray, S.",Karen.msikar@ucc.ie,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Feasibility of an online mindfulness program for stress management—A randomized, controlled trial","Morledge, Thomas J.; Allexandre, Didier; Fox, Emily; Fu, Alex Z.; Higashi, Mitchell K.; Kruzikas, Denise T.; Pham, Sissi V.; Reese, Pat Ray",Anders.meland@flymed.uio.no,,,Annals of Behavioral Medicine,44,2013,1,1,1,10.1007/s12160-013-9490-x,129,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Feasibility of an online mindfulness program for stress management—A randomized, controlled trial","Morledge, Thomas J.; Allexandre, Didier; Fox, Emily; Fu, Alex Z.; Higashi, Mitchell K.; Kruzikas, Denise T.; Pham, Sissi V.; Reese, Pat Ray",Anders.meland@flymed.uio.no,,,,,,,,,,129,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Online Mindfulness Training Increases Well-Being, Trait Emotional Intelligence, and Workplace Competency Ratings: A Randomized Waitlist-Controlled Trial","Nadler, R.; Carswell, J.J.; Minda, J.P.","rnadler@sigmaassessmentsystems.com",,,frontiers in psychology,98,2020,1,1,,10.3389/fpsyg.2020.00255,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Online Mindfulness Training Increases Well-Being, Trait Emotional Intelligence, and Workplace Competency Ratings: A Randomized Waitlist-Controlled Trial","Nadler, R.; Carswell, J.J.; Minda, J.P.","rnadler@sigmaassessmentsystems.com",,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Online Mindfulness Training Increases Well-Being, Trait Emotional Intelligence, and Workplace Competency Ratings: A Randomized Waitlist-Controlled Trial","Nadler, R.; Carswell, J.J.; Minda, J.P.","rnadler@sigmaassessmentsystems.com",,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,An online mindfulness-based intervention for undergraduate pharmacy students: Results of a mixed-methods feasibility study,"O'Driscoll, M.; Byrne, S.; Byrne, H.; Lambert, S.; Sahm, L.J.","michelle.odriscoll@ucc.ie, Stephen.byrne@ucc.ie, sharon.lambert@ucc.i, l.sahm@ucc.ie",,,Currents in Pharmacy Teaching and Learning,20,2019,1,1,3,10.1016/j.cptl.2019.05.013,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Effectiveness of Mindfulness-Based Stress Reduction bibliotherapy,"Oren, Yelena Kholodenko",hhazlett@unr.edu,,,,,2016,1,0,1,10.1002/jclp.22370,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Effectiveness of Mindfulness-Based Stress Reduction bibliotherapy,"Oren, Yelena Kholodenko",hhazlett@unr.edu,,,,,2016,1,0,1,10.1002/jclp.22370,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Effectiveness of Mindfulness-Based Stress Reduction bibliotherapy,"Oren, Yelena Kholodenko",hhazlett@unr.edu,,,,,2016,1,0,1,10.1002/jclp.22370,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Effectiveness of Mindfulness-Based Stress Reduction bibliotherapy,"Oren, Yelena Kholodenko",hhazlett@unr.edu,,,,,2016,1,0,1,10.1002/jclp.22370,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Effectiveness of Mindfulness-Based Stress Reduction bibliotherapy,"Oren, Yelena Kholodenko",hhazlett@unr.edu,,,,,2016,1,0,1,10.1002/jclp.22370,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,Mindfulness,58,2018,1,1,1,10.1007/s12671-018-0908-1,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Effects of Mindfulness on Psychological Distress and HbA1c in People with Diabetes,"Pearson, S.; Wills, K.; Woods, M.; Warnecke, E.",sue.pearson@utas.edu.au,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
